PI_number,log_dry_weight
PI569445,2.22505988823713
PI569445,1.8431089342012
PI569446,1.71924483437274
PI569446,1.59810400450184
PI569447,2.08435411795192
PI569447,1.85939549111423
PI569447,1.8687991608665
PI569452,2.28874323821348
PI569452,2.19736505765155
PI569452,2.16206649040961
PI569453,1.8431089342012
PI569453,1.94080445143633
PI569454,2.03181531962843
PI569454,2.56981668750654
PI569454,1.8431089342012
PI569455,1.8431089342012
PI569455,1.85620112988889
PI569457,2.4097312604824
PI569457,1.90948698156565
PI569457,1.93068827724985
PI569458,1.88684724271532
PI569458,1.91491487678023
PI569459,2.61637162480034
PI569459,1.92289473568304
PI569460,1.92551285263904
PI569460,1.93324620701321
PI569462,1.91491487678023
PI569462,1.78490834375327
PI569462,2.36111543741802
PI569465,1.84643043623962
PI569465,1.72404791293191
PI569886,2.4097312604824
PI569886,1.9506230475325
PI569886,1.96943411988653
PI570031,1.8983590110985
PI570031,1.97622367328444
PI570038,1.81527546935018
PI570038,1.751499664533
PI570039,1.84971921358798
PI570039,1.89551807309378
PI570042,1.88390618227413
PI570042,1.84971921358798
PI570047,1.85620112988889
PI570047,1.7768643834195
PI570053,1.93068827724985
PI570053,1.8294822176616
PI570071,1.9578019952011
PI570071,2.12973722425826
PI570073,1.78490834375327
PI570073,1.76862178684024
PI570074,1.93830400378442
PI570074,1.9506230475325
PI570075,1.96482979584393
PI570075,1.96250359687828
PI570076,2.09077370427399
PI570076,1.95303322551711
PI570076,1.79276301675523
PI570085,1.87794516314113
PI570085,1.73345158268417
PI570087,1.94328630822746
PI570087,1.92025592193559
PI570090,2.27162111590623
PI570090,2.11231719189046
PI570090,1.88684724271532
PI570091,1.8809389787307
PI570091,2.46379795041157
PI570091,1.96016107357585
PI570096,1.89265274905693
PI570096,1.95542612609167
PI570096,2.27438368230007
PI570106,1.87794516314113
PI570106,1.83636510482237
PI570109,1.76017049491146
PI570109,1.78490834375327
PI570110,2.01228880612854
PI570110,2.44121293870305
PI570110,1.96482979584393
PI570114,1.90117597465708
